"cui","sab","code"
C0013312,HPO,HP:0005679
C0013336,HPO,HP:0003510
C0013338,HPO,HP:0000839
C0013362,HPO,HP:0001260
C0013363,HPO,HP:0002271
C0013363,HPO,HP:0002459
C0013363,HPO,HP:0012332
C0013374,HPO,HP:0002961
C0013377,HPO,HP:0100621
C0013378,HPO,HP:0031249
C0013384,HPO,HP:0100660
C0013390,HPO,HP:0100607
C0013395,HPO,HP:0410281
C0013404,HPO,HP:0002094
C0013404,HPO,HP:0002098
C0013405,HPO,HP:0012763
C0013421,HPO,HP:0001332
C0013423,HPO,HP:0001304
C0013428,HPO,HP:0100518
C0013449,HPO,HP:0012780
C0013456,HPO,HP:0030766
C0013470,GO,GO:0007631
C0013481,HPO,HP:0010316
C0013491,HPO,HP:0031364
C0013528,HPO,HP:0010529
C0013529,GO,GO:0050959
C0013537,HPO,HP:0100601
C0013575,HPO,HP:0000968
C0013580,HPO,HP:0001683
C0013581,HPO,HP:0001083
C0013592,HPO,HP:0000656
C0013595,HPO,HP:0000964
C0013595,HPO,HP:0000976
C0013604,HPO,HP:0000969
C0013846,GO,GO:0006118
C0013902,HPO,HP:0004445
C0013936,GO,GO:0009790
C0013936,GO,GO:0009792
C0013936,GO,GO:0009793
C0014013,HPO,HP:0011919
C0014034,HPO,HP:0030249
C0014038,HPO,HP:0002383
C0014065,HPO,HP:0011815
C0014067,HPO,HP:0002085
C0014068,HPO,HP:0040197
C0014084,HPO,HP:0005701
C0014116,HPO,HP:0006695
C0014117,HPO,HP:0001706
C0014118,HPO,HP:0100584
C0014121,HPO,HP:0006689
C0014130,HPO,HP:0000818
C0014132,HPO,HP:0100568
C0014139,GO,GO:0006897
C0014173,HPO,HP:0040298
C0014175,HPO,HP:0030127
C0014179,HPO,HP:0025636
C0014239,GO,GO:0005783
C0014306,HPO,HP:0000490
C0014356,HPO,HP:0004387
C0014390,HPO,HP:0000621
C0014394,HPO,HP:0000805
C0014457,HPO,HP:0001880
C0014461,HPO,HP:0032253
C0014474,HPO,HP:0002888
C0014511,HPO,HP:0200040
C0014534,HPO,HP:0000031
C0014544,HPO,HP:0001250
C0014553,HPO,HP:0011147
C0014583,HPO,HP:0100534
C0014587,GO,GO:0097613
C0014591,HPO,HP:0000421
C0014714,HPO,HP:0001055
C0014733,HPO,HP:0001055
C0014740,HPO,HP:0031180
C0014743,HPO,HP:0012219
C0014800,HPO,HP:0012132
C0014804,HPO,HP:0032147
C0014819,GO,GO:0030218
C0014836,HPO,HP:0002740
C0014848,HPO,HP:0002571
C0014850,HPO,HP:0002032
C0014854,HPO,HP:0100628
C0014859,HPO,HP:0100751
C0014863,HPO,HP:0025271
C0014866,HPO,HP:0010450
C0014867,HPO,HP:0002040
C0014868,HPO,HP:0100633
C0014877,HPO,HP:0000565
C0014906,GO,GO:0042751
C0014948,GO,GO:0060209
C0015230,HPO,HP:0000988
C0015283,GO,GO:0006887
C0015300,HPO,HP:0000520
C0015306,HPO,HP:0002762
C0015310,HPO,HP:0000577
C0015328,GO,GO:0035640
C0015338,HPO,HP:0100548
C0015350,GO,GO:0031012
C0015352,GO,GO:0005615
C0015371,HPO,HP:0002071
C0015397,HPO,HP:0000478
C0015399,HPO,HP:0000508
C0015402,HPO,HP:0011885
C0015414,HPO,HP:0100012
C0015458,HPO,HP:0011331
C0015461,HPO,HP:0012289
C0015469,HPO,HP:0007209
C0015503,HPO,HP:0008169
C0015519,HPO,HP:0008321
C0015523,HPO,HP:0001929
C0015526,HPO,HP:0004841
C0015644,HPO,HP:0002380
C0015645,HPO,HP:0100537
C0015672,HPO,HP:0012378
C0015732,HPO,HP:0002607
C0015745,GO,GO:0007631
C0015745,GO,GO:0042755
C0015802,HPO,HP:0031846
C0015852,GO,GO:0006113
C0015914,GO,GO:0009566
C0015927,HPO,HP:0003826
C0015930,HPO,HP:0025116
C0015934,HPO,HP:0001511
C0015944,HPO,HP:0001788
C0015967,GO,GO:0001660
C0015967,HPO,HP:0001945
C0015974,HPO,HP:0032323
C0016017,GO,GO:0042730
C0016045,HPO,HP:0010614
C0016049,HPO,HP:0000169
C0016052,HPO,HP:0005313
C0016057,HPO,HP:0100244
C0016064,HPO,HP:0010736
C0016065,HPO,HP:0010735
C0016167,HPO,HP:0012390
C0016192,GO,GO:0005929
C0016192,GO,GO:0019861
C0016196,HPO,HP:0030207
C0016199,HPO,HP:0030157
C0016202,HPO,HP:0001763
C0016242,HPO,HP:0100832
C0016243,GO,GO:0000128
C0016382,HPO,HP:0031284
C0016399,HPO,HP:0011153
C0016412,HPO,HP:0100507
C0016434,GO,GO:0001541
C0016436,HPO,HP:0025084
C0016506,HPO,HP:0001760
C0016512,HPO,HP:0025238
C0016522,HPO,HP:0001655
C0016655,HPO,HP:0002757
C0016658,HPO,HP:0020110
C0016663,HPO,HP:0002756
C0016689,HPO,HP:0001480
C0016719,HPO,HP:0005323
C0016751,HPO,HP:0005973
C0016873,HPO,HP:0011090
C0016952,HPO,HP:0004919
C0016952,HPO,HP:0012024
C0016978,HPO,HP:0100575
C0017001,GO,GO:0007276
C0017075,HPO,HP:0003005
C0017086,HPO,HP:0100758
C0017127,GO,GO:0035483
C0017145,HPO,HP:0030169
C0017152,HPO,HP:0005263
C0017154,HPO,HP:0002582
C0017155,HPO,HP:0005246
C0017168,HPO,HP:0002020
C0017178,HPO,HP:0011024
C0017181,HPO,HP:0002239
C0017185,HPO,HP:0007378
